74:N(1802),HP(3604),HM(5405),HA(6603),LM(7202),LA(15326),LP(1628105)
75:N(578),HP(2422),HM(2999),HA(3042),LP(3597),LA(4406),LM(4926)
76:N(101),HP(368),HA(464),HM(468),LP(495),LM(601),LA(635)
77:N(74),HP(147),HM(220),HA(267),LM(293),LA(449),LP(2921)
78:N(329),HP(1320),HM(1648),HA(1663),LP(1799),LM(2144),LA(2178)
79:N(1057),HP(4595),HM(5651),HA(5709),LM(8192),LP(8714),LA(9317)
80:N(244),HP(929),HM(1172),HA(1207),LP(1346),LA(1554),LM(1852)
81:N(250),HP(961),HA(1202),HM(1210),LP(1430),LA(1648),LM(1705)
82:N(373),HP(1502),HM(1874),HA(1880),LP(2288),LA(2436),LM(2698)
83:N(1969),HP(3938),HM(5907),HA(7254),LM(8652),LA(17768),LP(1943401)
84:N(1947),HP(8998),HM(10944),HA(10983),LP(15926),LM(16131),LA(18134)
85:N(1449),HP(6429),HM(7877),HA(7917),LP(10717),LA(11566),LM(11750)
86:N(1667),HP(7529),HM(9195),HA(9326),LM(13884),LP(13885),LA(14239)
87:N(1265),HP(5552),HM(6816),HA(6880),LA(9932),LM(9940),LP(9995)
88:N(348),HP(1379),HM(1726),HA(1745),LP(1967),LA(2365),LM(2465)
89:N(452),HP(1863),HM(2314),HA(2324),LP(3026),LA(3411),LM(3481)
90:N(1554),HP(7033),HM(8586),HA(8631),LA(12820),LP(13220),LM(14010)
91:N(1436),HP(6365),HM(7800),HA(7901),LP(11189),LM(12352),LA(12549)
92:N(1670),HP(7582),HM(9251),HA(9285),LM(12998),LP(13613),LA(13982)
93:N(112),HP(405),HM(516),LP(517),HA(522),LM(658),LA(675)
94:N(1825),HP(8362),HM(10186),HA(10202),LM(15268),LP(15496),LA(15861)
95:N(444),HP(1808),HM(2251),HA(2261),LP(2691),LA(3261),LM(3262)
96:N(1629),HP(7325),HM(8953),HA(9009),LP(11504),LM(13805),LA(15953)
97:N(1237),HP(5487),HM(6723),HA(6770),LP(9423),LA(9748),LM(10721)
98:N(242),HP(483),HM(724),HA(880),LM(965),LA(1617),LP(29885)
99:N(1843),HP(8359),HM(10201),HA(10251),LM(15945),LP(16081),LA(16750)
100:N(56),HP(185),HM(240),HA(246),LP(287),LM(316),LA(324)
101:N(925),HP(4048),HA(4945),HM(4972),LP(6507),LA(7247),LM(7248)
102:N(1948),HP(8959),HA(10886),HM(10906),LP(14933),LM(18209),LA(19080)
103:N(1146),HP(4985),HM(6130),HA(6188),LP(8475),LM(8746),LA(10749)
104:N(1076),HP(4693),HM(5768),HA(5838),LA(7783),LP(8699),LM(10543)
105:N(1763),HP(7931),HM(9774),HA(9810),LP(13877),LA(14242),LM(15566)
106:N(1912),HP(3824),HM(5735),HA(6999),LM(7642),LA(18444),LP(1832650)
107:N(245),HP(950),HA(1172),HM(1194),LA(1705),LP(1813),LM(2061)
108:N(103),HP(380),HA(462),HM(482),LM(526),LP(556),LA(622)
109:N(771),HP(3241),HM(4011),HA(4065),LA(5625),LM(6004),LP(6576)
110:N(606),HP(2538),HM(3143),HA(3198),LP(4062),LA(4386),LM(4645)
111:N(1760),HP(7977),HM(9736),HA(9850),LP(13214),LM(15416),LA(15691)
112:N(1357),HP(6052),HM(7408),HA(7476),LP(10092),LM(11564),LA(11702)
113:N(485),HP(969),HM(1453),HA(1792),LM(1937),LA(3440),LP(118823)
114:N(654),HP(2757),HA(3407),HM(3410),LP(4532),LM(4993),LA(6251)
115:N(279),HP(1098),HA(1359),HM(1376),LM(1797),LP(1837),LA(1862)
116:N(804),HP(3445),HM(4248),HA(4251),LP(5915),LA(6372),LM(6571)
117:N(443),HP(885),HM(1328),HA(1627),LM(1847),LA(3203),LP(99230)
118:N(209),HP(781),HM(989),HA(1011),LM(1334),LP(1337),LA(1416)
119:N(1834),HP(8392),HA(10208),HM(10225),LP(13959),LM(15982),LA(16002)
120:N(297),HP(1188),HA(1479),HM(1484),LP(1803),LA(1830),LM(1975)
121:N(1080),HP(2160),HM(3239),HA(3962),LM(4314),LA(8747),LP(585898)
122:N(792),HP(3363),HM(4154),HA(4166),LP(4988),LA(6249),LM(6645)
123:N(871),HP(3771),HM(4641),HA(4719),LP(5557),LM(6329),LA(6925)
124:N(957),HP(4127),HM(5083),HA(5186),LP(6618),LA(8144),LM(8194)
125:N(1089),HP(4767),HM(5855),HA(5919),LP(7729),LA(8475),LM(8489)
126:N(942),HP(4020),HM(4961),HA(5027),LP(7048),LA(7082),LM(8017)
127:N(719),HP(2983),HM(3701),HA(3818),LA(4989),LP(5380),LM(5380)
128:N(1003),HP(4390),HM(5392),HA(5426),LP(7001),LA(7477),LM(8600)
129:N(962),HP(4152),HM(5113),HA(5164),LP(6881),LM(7875),LA(8217)
130:N(477),HP(1930),HM(2406),HA(2470),LP(3103),LA(3641),LM(3828)
131:N(118),HP(440),HM(557),HA(559),LA(663),LP(695),LM(748)
132:N(1663),HP(7460),HM(9122),HA(9256),LA(12640),LP(12976),LM(14771)
133:N(1544),HP(6870),HM(8413),HA(8465),LP(11927),LM(12996),LA(14483)
134:N(1066),HP(4630),HM(5695),HA(5731),LM(7699),LP(7845),LA(9046)
135:N(808),HP(3483),HM(4290),HA(4304),LM(5907),LP(6096),LA(6369)
136:N(1919),HP(8777),HM(10695),HA(10749),LP(16146),LM(16148),LA(16238)
137:N(815),HP(3500),HM(4314),HA(4319),LA(6100),LM(6449),LP(6708)
138:N(1118),HP(4899),HM(6016),HA(6049),LP(7916),LM(8937),LA(9312)
139:N(1192),HP(5220),HM(6411),HA(6516),LP(8057),LA(9105),LM(9677)
140:N(602),HP(2490),HM(3091),HA(3096),LP(3893),LM(4361),LA(4775)
141:N(1191),HP(5276),HA(6385),HM(6466),LP(8340),LA(9869),LM(10284)
142:N(1907),HP(8657),HM(10563),HA(10733),LP(15568),LA(16733),LM(17062)
143:N(1267),HP(5651),HA(6912),HM(6917),LP(9561),LM(10405),LA(11838)
144:N(1522),HP(6767),HM(8288),HA(8388),LA(12743),LM(13605),LP(13807)
145:N(414),HP(1677),HA(2077),HM(2090),LP(2985),LA(3252),LM(3329)
146:N(366),HP(1448),HM(1813),HA(1832),LM(2281),LA(2284),LP(2404)
147:N(1912),HP(8609),HM(10520),HA(10725),LA(15596),LP(15889),LM(18608)
148:N(1312),HP(5823),HM(7134),HA(7167),LM(9980),LA(10029),LP(10525)
149:N(1199),HP(5309),HM(6507),HA(6579),LP(9118),LA(9726),LM(10140)
150:N(655),HP(2726),HM(3380),HA(3428),LA(4985),LM(5101),LP(5631)
151:N(1565),HP(7036),HA(8599),HM(8600),LA(12148),LM(12373),LP(12682)
152:N(1461),HP(6484),HM(7944),HA(8036),LP(11385),LA(11883),LM(13885)
153:N(1356),HP(6041),HM(7396),HA(7462),LM(10431),LP(11487),LA(11496)
154:N(1027),HP(4483),HM(5509),HA(5517),LP(7813),LM(8166),LA(8285)
155:N(1208),HP(2416),HM(3623),HA(4430),LM(4826),LA(11043),LP(732650)
156:N(1883),HP(8589),HM(10471),HA(10545),LA(15306),LP(15501),LM(16586)
157:N(1013),HP(2025),HM(3037),HA(3718),LM(4049),LA(7513),LP(515615)
158:N(1330),HP(5909),HM(7238),HA(7338),LP(10203),LA(11094),LM(12176)
159:N(1925),HP(8859),HA(10725),HM(10783),LM(15199),LP(15314),LA(17858)
160:N(1914),HP(8744),HM(10657),HA(10717),LP(14149),LM(16071),LA(18410)
161:N(1140),HP(4959),HM(6098),HA(6225),LP(8030),LA(9781),LM(10065)
162:N(1264),HP(5622),HA(6845),HM(6885),LA(9540),LP(10116),LM(10237)
163:N(1486),HP(6677),HM(8162),HA(8223),LP(11847),LM(12139),LA(12777)
164:N(1473),HP(6600),HA(8035),HM(8072),LP(11446),LM(12315),LA(13054)
165:N(1777),HP(8118),HM(9894),HA(9929),LP(14713),LM(15761),LA(15841)
166:N(426),HP(1741),HA(2139),HM(2166),LP(2861),LM(2974),LA(3332)
167:N(1691),HP(7594),HM(9284),HA(9407),LP(14164),LA(14241),LM(15751)
168:N(63),HP(125),HM(187),HA(228),LM(249),LA(440),LP(2140)
169:N(1842),HP(8343),HM(10184),HA(10340),LP(14385),LA(15461),LM(15867)
170:N(1339),HP(5982),HM(7320),HA(7328),LP(10235),LM(10337),LA(11254)
171:N(1442),HP(6460),HA(7899),HM(7901),LA(11818),LM(12631),LP(12701)
172:N(1160),HP(5047),HM(6206),HA(6280),LA(8473),LP(8541),LM(9548)
173:N(1797),HP(8189),HM(9985),HA(10079),LP(13833),LM(14730),LA(15885)
174:N(322),HP(1275),HM(1596),HA(1604),LP(1953),LM(2174),LA(2288)
175:N(1243),HP(5463),HM(6705),HA(6752),LP(10389),LA(10546),LM(11165)
176:N(11),HP(31),HA(40),HM(41),LP(45),LA(46),LM(49)
177:N(1904),HP(8580),HM(10483),HA(10559),LA(16183),LP(18031),LM(20070)
178:N(326),HP(1292),HM(1617),HA(1634),LP(1769),LM(2305),LA(2395)
179:N(700),HP(2950),HM(3649),HA(3679),LM(5257),LP(5308),LA(5653)
180:N(1432),HP(2863),HM(4294),HA(5292),LM(5725),LA(11298),LP(1028890)
181:N(387),HP(1556),HM(1942),HA(1958),LP(2416),LA(2964),LM(3019)
182:N(57),HP(195),HA(249),HM(251),LP(273),LM(289),LA(298)
183:N(1130),HP(4996),HM(6125),HA(6157),LM(8660),LP(9117),LA(9244)
184:N(387),HP(1556),HM(1942),HA(1967),LP(2740),LA(2796),LM(2967)
185:N(1304),HP(5762),HM(7065),HA(7073),LP(10264),LA(10472),LM(11263)
186:N(1276),HP(5619),HM(6894),HA(6932),LA(9509),LP(11064),LM(12479)
187:N(287),HP(1152),HA(1434),HM(1438),LM(1860),LP(1873),LA(2067)
188:N(458),HP(1854),HM(2311),HA(2351),LA(3266),LP(3492),LM(3741)
189:N(1249),HP(2497),HM(3745),HA(4585),LM(4993),LA(12056),LP(783121)
190:N(1954),HP(8888),HM(10841),HA(10992),LP(15718),LM(16294),LA(17460)
191:N(727),HP(1453),HM(2179),HA(2677),LM(2905),LA(6706),LP(266080)
192:N(1274),HP(5553),HM(6826),HA(6977),LP(9258),LM(10019),LA(10649)
193:N(1666),HP(3332),HM(4998),HA(6128),LM(7015),LA(15501),LP(1391941)
194:N(1252),HP(5502),HM(6753),HA(6826),LP(8670),LA(10143),LM(10147)
195:N(291),HP(1168),HA(1457),HM(1458),LP(1738),LM(1838),LA(2108)
196:N(1702),HP(7720),HM(9421),HA(9440),LP(14497),LM(14561),LA(14770)
197:N(554),HP(1107),HM(1660),HA(2018),LM(2213),LA(4408),LP(154841)
198:N(1361),HP(6085),HM(7445),HA(7487),LA(10224),LP(10327),LM(12381)
199:N(541),HP(2269),HM(2809),HA(2820),LP(3599),LM(3694),LA(4171)
200:N(1579),HP(7099),HA(8671),HM(8677),LP(11555),LA(12863),LM(13375)
201:N(1435),HP(6432),HM(7867),HA(7946),LA(10871),LP(11374),LM(11985)
202:N(1765),HP(7935),HM(9699),HA(9819),LP(13915),LM(15596),LA(17007)
203:N(1806),HP(8204),HM(10009),HA(10043),LP(15019),LA(15669),LM(16523)
204:N(722),HP(3054),HM(3775),HA(3854),LP(5146),LM(5646),LA(5778)
205:N(460),HP(1924),HM(2383),HA(2392),LP(3004),LM(3248),LA(3862)
206:N(453),HP(1864),HM(2316),HA(2345),LP(2842),LA(3063),LM(3224)
207:N(703),HP(2962),HM(3664),HA(3703),LA(5440),LP(5543),LM(6701)
208:N(386),HP(1579),HM(1964),HA(1967),LP(2482),LM(2707),LA(3246)
209:N(347),HP(693),HM(1039),HA(1275),LM(1385),LA(2460),LP(61070)
210:N(1473),HP(6558),HM(8030),HA(8083),LP(10994),LA(11596),LM(12020)
211:N(222),HP(867),HA(1086),HM(1088),LP(1232),LA(1349),LM(1418)
212:N(439),HP(1788),HM(2226),HA(2259),LP(3032),LA(3197),LM(3509)
213:N(1241),HP(5539),HA(6754),HM(6779),LM(9646),LA(10197),LP(10343)
214:N(1521),HP(6772),HM(8292),HA(8376),LM(12596),LP(13687),LA(13798)
215:N(379),HP(1528),HA(1901),HM(1906),LP(2219),LM(2317),LA(2643)
216:N(1111),HP(4863),HM(5973),HA(5977),LP(8025),LM(9090),LA(9383)
217:N(1799),HP(8138),HM(9936),HA(9972),LM(14912),LP(15094),LA(16250)
218:N(1768),HP(8029),HM(9796),HA(9915),LM(13860),LP(13937),LA(14839)
219:N(564),HP(2365),HA(2925),HM(2928),LP(3992),LA(4076),LM(4629)
220:N(1205),HP(5369),HA(6523),HM(6573),LP(8812),LM(9597),LA(11184)
221:N(79),HP(272),HM(350),HA(361),LP(409),LM(419),LA(526)
222:N(1703),HP(7701),HM(9403),HA(9477),LP(12161),LM(13484),LA(15341)
223:N(1082),HP(4692),HM(5773),HA(5811),LP(7367),LM(9593),LA(9646)
224:N(1674),HP(7521),HM(9194),HA(9243),LM(14549),LA(15005),LP(15823)
225:N(402),HP(1620),HM(2021),HA(2029),LA(2665),LM(2986),LP(3472)
226:N(712),HP(3029),HM(3740),HA(3774),LP(4708),LM(5809),LA(5936)
227:N(1440),HP(6478),HM(7917),HA(7934),LP(9979),LM(12119),LA(13057)
228:N(860),HP(3707),HM(4566),HA(4689),LP(5881),LA(6670),LM(7080)
229:N(1512),HP(6782),HM(8293),HA(8324),LM(12063),LP(12266),LA(12790)
230:N(1925),HP(8747),HM(10671),HA(10826),LP(15409),LM(16890),LA(16928)
231:N(1878),HP(8548),HM(10425),HA(10452),LA(15639),LP(16390),LM(17255)
232:N(1865),HP(8584),HA(10340),HM(10448),LP(15998),LA(16722),LM(17056)
233:N(42),HP(143),HA(178),HM(184),LA(187),LP(197),LM(220)
234:N(192),HP(726),HA(905),HM(917),LP(1101),LM(1219),LA(1367)
235:N(1552),HP(6964),HM(8515),HA(8556),LP(12265),LM(13269),LA(13849)
236:N(766),HP(3228),HM(3993),HA(4048),LP(4836),LA(5969),LM(6104)
237:N(1630),HP(3260),HM(4889),HA(6008),LM(6514),LA(13656),LP(1332523)
238:N(1638),HP(7420),HM(9057),HA(9094),LM(13244),LP(13801),LA(14632)
239:N(386),HP(1555),HM(1940),HA(1943),LA(2563),LP(2733),LM(2879)
240:N(174),HP(629),HM(802),HA(826),LP(1044),LA(1092),LM(1244)
241:N(1999),HP(9244),HA(11105),HM(11242),LP(14703),LM(16661),LA(21122)
242:N(314),HP(627),HM(940),HA(1155),LM(1253),LA(2262),LP(50081)
243:N(80),HP(159),HM(238),HA(290),LM(317),LA(419),LP(3398)
244:N(1195),HP(5295),HA(6459),HM(6489),LP(7809),LM(9504),LA(9603)
245:N(119),HP(431),HA(538),HM(549),LM(665),LP(668),LA(908)
246:N(444),HP(1809),HM(2252),HA(2266),LP(2718),LM(3075),LA(3199)
247:N(1020),HP(4422),HM(5441),HA(5462),LP(6982),LA(7801),LM(7989)
248:N(453),HP(1852),HM(2304),HA(2317),LP(2782),LM(3430),LA(3632)
249:N(1732),HP(7809),HM(9540),HA(9560),LP(13249),LA(13736),LM(15782)
250:N(843),HP(3619),HM(4461),HA(4511),LA(6425),LP(6600),LM(6656)
251:N(1732),HP(7804),HM(9535),HA(9598),LP(14270),LM(14859),LA(18463)
252:N(873),HP(3739),HM(4611),HA(4681),LP(6512),LM(7644),LA(7884)
253:N(331),HP(1324),HA(1652),HM(1654),LM(2273),LA(2305),LP(2665)
254:N(287),HP(1137),HM(1423),HA(1429),LP(1468),LM(1976),LA(2358)
